Image Master File,New file,Group
https://cdn.amplifi.pattern.com/413e7c4c-c206-4a9b-9981-e9026faf9794,U3BB037559_Royal Blue_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/5d9977a2-1420-4e29-b02a-dcd6a22a618c,U3GK037323_DK. NAVY_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/e5e5f255-3883-444e-b02b-5df92b526218,U3BB037559_WHITE_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/ae91a455-aa98-43ea-8b4e-a771b976d853,U3GB037360_WHITE_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/047eaa7b-4322-40b7-9e85-5e96716f5c07,U3GT037294_LT. PINK_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/3417b7d2-53bd-40a3-9a7e-2a00889a4205,U3GK037336_PINK_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/03637fc4-e3cd-4901-9b30-d70a7210daf0,U3GK037321_LT. PINK_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/3bc8781e-e6e7-4912-add0-44bff6d16122,U3GK037321_LT. PINK_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/1563c75c-1970-4c86-acb0-390cf9aa5908,U3GT037704_FUCHSIA_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/985fa827-e304-4e24-9c7f-57503ff968cc,U3BK037564_DUSTY ORANGE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/0c1d0f85-7cef-4282-8f0c-3ad28d23f20b,U3BT037502_Royal Blue_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/26d0faae-7958-417c-8ca0-8c2050efb5cb,U3BT037489_BLUE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/a957bc7e-a504-4282-843a-aedb507cc385,U3GK037232_FUCHSIA_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/9d27c654-b771-45a9-9b7f-97f6eff60ca6,U3GK037037_YELLOW_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/0686fa21-ef42-4efe-8a39-c8189544c7ec,U3BB037540_WHITE_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/b532eecc-7c19-4111-95d4-a549b3c1106b,U3GK037037_ROSE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/b52f5415-9164-41a4-ac60-ab6ea2371d02,U3GB037360_WHITE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/eb337ebc-a12e-430c-8e77-09e0be4a1e91,U3GK037234_JF BLACK_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/80028b0f-8472-4edf-9774-c4e8ffee1071,U3BK037499_BRIGHT GREEN_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/a5470889-ecc8-4999-baf4-9db33d5eb70c,U3BT037497_LT. BLUE_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/fb985cf3-9ae9-468e-a114-35b5006e77b9,U3BT037489_LT. GREEN_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/c663e761-c720-4d5c-aecd-407d519b0391,U3BT037501_LT. AQUA_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/3c5636e7-d029-439a-8146-9ac6ff4e524b,U3GK037234_JF BLACK_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/466b1752-cd1c-40e1-ba2d-32f2cfc9d4be,U3GB037360_PINK_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/54c111c9-9a71-4ea9-94b4-932f5c133449,U3GT037297_LT. GOLD_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
